Label,Enumeration Value,Description
ActionObjectAssociationType,input,Specifies that the Associated_Object field serves as an input to the Action. This includes cases where an Object is used by the Action or an existing Object is modified by the Action.
ActionObjectAssociationType,output,Specifies that the Associated_Object field serves as an output to the Action. This includes cases where the Object is created anew by the Action or otherwise returned by the Action.
ActionObjectAssociationType,side-effect,Specifies that the Associated_Object field serves as a side-effect resulting from the Action. This includes cases where the Object is modified indirectly by the Action.
DebuggingActionName,check for remote debugger,Specifies the defined Action of checking for the presence of a remote debugger.
DebuggingActionName,check for kernel debugger,Specifies the defined Action of checking for the presence of a kernel debugger.
DeviceDriverActionName,load and call driver,Specifies the defined Action of loading a driver into a system and then calling the loaded driver.
DeviceDriverActionName,load driver,Specifies the defined Action of loading a driver into a system.
DeviceDriverActionName,unload driver,Specifies the defined Action of unloading a driver from a system.
DeviceDriverActionName,emulate driver,Specifies the defined Action of emulating an existing driver on a system.
DirectoryActionName,create directory,Specifies the defined Action of creating a new directory on the filesystem.
DirectoryActionName,delete directory,Specifies the defined Action of deleting an existing directory on the filesystem.
DirectoryActionName,monitor directory,Specifies the defined Action of monitoring an existing directory on the filesystem for changes.
DirectoryActionName,hide directory,Specifies the defined Action of hiding an existing directory.
DiskActionName,get disk type,Specifies the defined Action of getting the disk type.
DiskActionName,get disk attributes,"Specifies the defined Action of querying the attributes of a disk, such as the amount of available free space."
DiskActionName,mount disk,Specifies the defined Action of mounting an existing file system to a mounting point.
DiskActionName,unmount disk,Specifies the defined Action of unmounting an existing file system from a mounting point.
DiskActionName,emulate disk,Specifies the defined Action of emulating an existing disk.
DiskActionName,list disks,Specifies the defined Action of listing all disks available on a system.
DiskActionName,monitor disks,Specifies the defined Action of monitoring an existing disk for changes.
DNSActionName,send dns query,Specifies the defined Action of sending a DNS query
DNSActionName,send reverse dns lookup,Specifies the defined Action of sending a reverse DNS lookup
FileActionName,create file,Specifies the defined Action of creating a new file.
FileActionName,delete file,Specifies the defined Action of deleting an existing file.
FileActionName,copy file,Specifies the defined Action of copying an existing file from one location to another.
FileActionName,create file symbolic link,Specifies the defined Action of creating a symbolic link to an existing file.
FileActionName,find file,Specifies the defined Action of searching for an existing file.
FileActionName,get file attributes,Specifies the defined Action of getting the attributes of an existing file.
FileActionName,set file attributes,Specifies the defined Action of setting the file attributes for an existing file.
FileActionName,lock file,Specifies the defined Action of locking an existing file.
FileActionName,unlock file,Specifies the defined Action of unlocking an existing file.
FileActionName,modify file,Specifies the defined Action of modifying an existing file in some manner.
FileActionName,move file,Specifies the defined Action of moving an existing file from one location to another.
FileActionName,open file,Specifies the defined Action of opening an existing file for reading or writing.
FileActionName,read from file,Specifies the defined Action of reading from an existing file.
FileActionName,write to file,Specifies the defined Action of writing to an existing file.
FileActionName,rename file,Specifies the defined Action of renaming an existing file.
